PERMNO,date,TICKER,VOL,RET,ALTPRC,RETX
50737,1983-07-29,BRK,1936,-0.040816,17.62500,-0.040816
50737,1983-08-31,BRK,1996,-0.099291,15.87500,-0.099291
50737,1983-09-30,BRK,859,0.083780,16.87500,0.062992
50737,1983-10-31,BRK,1199,0.051852,17.75000,0.051852
50737,1983-11-30,BRK,2945,-0.037746,16.75000,-0.056338
50737,1983-12-30,BRK,517,0.007463,16.87500,0.007463
50737,1984-01-31,BRK,604,-0.007407,16.75000,-0.007407
50737,1984-02-29,BRK,911,-0.044776,16.00000,-0.044776
50737,1984-03-30,BRK,1175,-0.041875,15.00000,-0.062500
50737,1984-04-30,BRK,762,0.108333,16.62500,0.108333
50737,1984-05-31,BRK,3471,-0.037594,16.00000,-0.037594
50737,1984-06-29,BRK,1173,0.044063,16.37500,0.023438
50737,1984-07-31,BRK,764,-0.015267,16.12500,-0.015267
50737,1984-08-31,BRK,3248,0.082481,17.12500,0.062016
50737,1984-09-28,BRK,870,0.021898,17.50000,0.021898
50737,1984-10-31,BRK,1654,0.000000,17.50000,0.000000
50737,1984-11-30,BRK,945,0.004571,17.25000,-0.014286
50737,1984-12-31,BRK,720,0.000000,17.25000,0.000000
50737,1985-01-31,BRK,1838,0.137681,19.62500,0.137681
50737,1985-02-28,BRK,4143,0.006369,19.75000,0.006369
50737,1985-03-29,BRK,893,-0.046582,18.50000,-0.063291
50737,1985-04-30,BRK,3003,0.162162,21.50000,0.162162
50737,1985-05-31,BRK,8588,0.069767,23.00000,0.069767
50737,1985-06-28,BRK,3980,0.057826,24.00000,0.043478
50737,1985-07-31,BRK,7012,0.130208,27.12500,0.130208
50737,1985-08-30,BRK,1289,-0.041475,26.00000,-0.041475
50737,1985-09-30,BRK,1611,0.055962,27.12500,0.043269
50737,1985-10-31,BRK,2421,0.055300,28.62500,0.055300
50737,1985-11-29,BRK,3055,-0.021834,28.00000,-0.021834
50737,1985-12-31,BRK,2464,0.011786,28.00000,0.000000
50737,1986-01-31,BRK,3068,0.017857,28.50000,0.017857
50737,1986-02-28,BRK,5082,0.293860,36.87500,0.293860
50737,1986-03-31,BRK,2837,-0.001220,36.50000,-0.010169
50737,1986-04-30,BRK,5864,0.068493,39.00000,0.068493
50737,1986-05-30,BRK,5361,0.022436,39.87500,0.022436
50737,1986-06-30,BRK,2310,-0.004263,39.37500,-0.012539
50737,1986-07-31,BRK,5056,0.053968,41.50000,0.053968
50737,1986-08-29,BRK,3077,0.069277,44.37500,0.069277
50737,1986-09-30,BRK,3776,-0.068620,41.00000,-0.076056
50737,1986-10-31,BRK,2907,0.018293,41.75000,0.018293
